Data set,"Top 500 authors, by Scholarly Output"
Entity,"Australia"
Year range,2012 to 2021
Subject classification,"FOR"
Filtered by,"Built Environment And Design"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,22 June 2022
Date exported,4 July 2022

Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Scopus author ID,Scopus author profile
"Skitmore, Martin",173,2021,4865,28.1,1.92,58.0,7003387239,https://www.scopus.com/authid/detail.url?authorId=7003387239
"Arulrajah, Arul",124,2021,4563,36.8,2.18,56.0,55912844600,https://www.scopus.com/authid/detail.url?authorId=55912844600
"Zuo, Jian",118,2021,3186,27.0,2.33,58.0,23020460400,https://www.scopus.com/authid/detail.url?authorId=23020460400
"Sanjayan, Jay G.",118,2021,5168,43.8,3.22,69.0,56094890900,https://www.scopus.com/authid/detail.url?authorId=56094890900
"Tam, Vivian W.Y.",98,2021,2678,27.3,2.12,63.0,7005091994,https://www.scopus.com/authid/detail.url?authorId=7005091994
"Love, Peter E.D.",97,2021,3619,37.3,2.38,79.0,57205302607,https://www.scopus.com/authid/detail.url?authorId=57205302607
"Aslani, Farhad",91,2021,2189,24.1,2.20,36.0,35788787900,https://www.scopus.com/authid/detail.url?authorId=35788787900
"Yigitcanlar, Tan",87,2021,2761,31.7,4.43,50.0,6505536041,https://www.scopus.com/authid/detail.url?authorId=6505536041
"Wang, Xiangyu",87,2021,4273,49.1,3.53,56.0,8945580300,https://www.scopus.com/authid/detail.url?authorId=8945580300
"Chileshe, Nicholas",84,2021,1572,18.7,2.02,28.0,12808688300,https://www.scopus.com/authid/detail.url?authorId=12808688300
"Hosseini, M. Reza",83,2021,2401,28.9,3.10,33.0,57193617746,https://www.scopus.com/authid/detail.url?authorId=57193617746
"Hadi, Muhammad N.S.",81,2021,2431,30.0,1.76,40.0,56603026300,https://www.scopus.com/authid/detail.url?authorId=56603026300
"Xia, Bo",75,2021,1621,21.6,1.83,31.0,35604946500,https://www.scopus.com/authid/detail.url?authorId=35604946500
"Uddin Ahmed Shaikh, Faiz",71,2021,3027,42.6,2.04,45.0,56962729700,https://www.scopus.com/authid/detail.url?authorId=56962729700
"de Dear, Richard",71,2021,3890,54.8,3.78,53.0,57509153500,https://www.scopus.com/authid/detail.url?authorId=57509153500
"Loosemore, Martin",67,2021,1344,20.1,1.74,30.0,6701918491,https://www.scopus.com/authid/detail.url?authorId=6701918491
