Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Teitelbaum E., Alsaad H., Aviv D., Kim A., Voelker C., Meggers F., Pantelic J.","57188727644;57200602366;57195838848;57581007500;23478503100;36731246700;35272981200;","Addressing a systematic error correcting for free and mixed convection when measuring mean radiant temperature with globe thermometers",2022,"Scientific Reports","12","1","6473","","",,,"10.1038/s41598-022-10172-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128467589&doi=10.1038%2fs41598-022-10172-5&partnerID=40&md5=28c4115e7aaab7ecc83aed29d519b76c","CHAOS Laboratory, Princeton University, Princeton, NJ  08544, United States; AIL Research, Inc., Hopewell, NJ  08525, United States; Department of Building Physics, Bauhaus-University Weimar, Weimar, 99423, Germany; Weitzman School of Design, University of Pennsylvania, Philadelphia, PA  19104, United States; KU Leuven, Faculty of Bioscience Engineering, Department of Biosystems, Leuven, Belgium; Well Living Lab, Inc., Rochester, MN  55902, United States","Teitelbaum, E., CHAOS Laboratory, Princeton University, Princeton, NJ  08544, United States, AIL Research, Inc., Hopewell, NJ  08525, United States; Alsaad, H., Department of Building Physics, Bauhaus-University Weimar, Weimar, 99423, Germany; Aviv, D., Weitzman School of Design, University of Pennsylvania, Philadelphia, PA  19104, United States; Kim, A., CHAOS Laboratory, Princeton University, Princeton, NJ  08544, United States; Voelker, C., Department of Building Physics, Bauhaus-University Weimar, Weimar, 99423, Germany; Meggers, F., CHAOS Laboratory, Princeton University, Princeton, NJ  08544, United States; Pantelic, J., KU Leuven, Faculty of Bioscience Engineering, Department of Biosystems, Leuven, Belgium, Well Living Lab, Inc., Rochester, MN  55902, United States","Teitelbaum, E.; AIL Research, United States; email: eteitelb@princeton.edu
Alsaad, H.; Department of Building Physics, Germany; email: hayder.alsaad@uni-weimar.de",,"Nature Research",20452322,,,"35440747","English","Sci. Rep.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85128467589
"Tamura K., Matsumoto S., Tseng Y.H., Kobayashi T., Miwa J., Miyazawa K., Matsumoto S., Hiramatsu S., Otake H., Okamoto T.","55625286500;57222865482;57223002823;57222864446;57222867430;57222872357;57222865476;57222870710;57222863521;55910998100;","Physiological comfort evaluation under different airflow directions in a heating environment",2022,"Journal of Physiological Anthropology","41","1","16","","",,,"10.1186/s40101-022-00289-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128285637&doi=10.1186%2fs40101-022-00289-x&partnerID=40&md5=dcf06e748202e4c23bbff5e0785a40f5","Faculty of Arts and Science, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan; Department of Information and Systems Engineering, Faculty of Information Engineering, Fukuoka Institute of Technology, 3-30-1 Wajiro-higashi, Higashi-ku, Fukuoka, 811-0295, Japan; Graduate School of Systems Life Sciences, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan; Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Research and Innovation Center, Mitsubishi Heavy Industries Ltd., 1, Aza Kanda, Iwatsuka-cho, Nakamura-ku, Aichi, Nagoya, 453-8515, Japan","Tamura, K., Faculty of Arts and Science, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan, Department of Information and Systems Engineering, Faculty of Information Engineering, Fukuoka Institute of Technology, 3-30-1 Wajiro-higashi, Higashi-ku, Fukuoka, 811-0295, Japan; Matsumoto, S., Faculty of Arts and Science, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan; Tseng, Y.H., Graduate School of Systems Life Sciences, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan; Kobayashi, T., Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Miwa, J., Research and Innovation Center, Mitsubishi Heavy Industries Ltd., 1, Aza Kanda, Iwatsuka-cho, Nakamura-ku, Aichi, Nagoya, 453-8515, Japan; Miyazawa, K., Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Matsumoto, S., Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Hiramatsu, S., Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Otake, H., Mitsubishi Heavy Industries Thermal Systems LTD., 3-1, Asahi, Nishi-biwajima-cho, Aichi, Kiyosu, 452-8561, Japan; Okamoto, T., Faculty of Arts and Science, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan, Graduate School of Systems Life Sciences, Kyushu University, 744 Motooka, Nishi-ku, Fukuoka, 819-0395, Japan","Okamoto, T.; Faculty of Arts and Science, 744 Motooka, Nishi-ku, Japan; email: okamoto@artsci.kyushu-u.ac.jp",,"BioMed Central Ltd",18806791,,,"35428365","English","J. Physiol. Anthropol.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85128285637
"Jian Y., Liu J., Liu S., Guo R., Gu X., Bian M., Liu Z.","7005805942;57439859600;57652425700;57215898042;57759197100;57654085400;57214796198;","Individual-based insight into occupants' interaction with windows in apartments in Beijing",2022,"Journal of Building Engineering","56",,"104795","","",,,"10.1016/j.jobe.2022.104795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132538846&doi=10.1016%2fj.jobe.2022.104795&partnerID=40&md5=53790f2ab51ef96e36bdfe60443d7df0","Faculty of Urban Construction, Beijing University of Technology, Beijing, China; Beijing Key Laboratory of Green Built Environment and Energy Efficient Technology, Beijing, China; State Key Laboratory of Building Safety and Built Environment, China Academy of Building Research, Beijing, 100013, China","Jian, Y., Faculty of Urban Construction, Beijing University of Technology, Beijing, China, Beijing Key Laboratory of Green Built Environment and Energy Efficient Technology, Beijing, China; Liu, J., Faculty of Urban Construction, Beijing University of Technology, Beijing, China; Liu, S., Faculty of Urban Construction, Beijing University of Technology, Beijing, China; Guo, R., Faculty of Urban Construction, Beijing University of Technology, Beijing, China; Gu, X., Faculty of Urban Construction, Beijing University of Technology, Beijing, China; Bian, M., State Key Laboratory of Building Safety and Built Environment, China Academy of Building Research, Beijing, 100013, China; Liu, Z., State Key Laboratory of Building Safety and Built Environment, China Academy of Building Research, Beijing, 100013, China","Jian, Y.; Faculty of Urban Construction, No. 100 Pingleyuan, Chaoyang District, China; email: jianyiwen@bjut.edu.cn",,"Elsevier Ltd",23527102,,,,"English","J. Build. Eng.",Article,"Final","",Scopus,2-s2.0-85132538846
"Malik J., Bardhan R., Hong T., Piette M.A.","57202199627;57201372193;7202830430;7005821900;","Developing occupant archetypes within urban low-income housing: A case study in Mumbai, India",2022,"Building Simulation","15","9",,"1661","1683",,,"10.1007/s12273-022-0889-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124937316&doi=10.1007%2fs12273-022-0889-9&partnerID=40&md5=14ed94e4e974b56d21ed7440271af170","Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Centre for Urban Science and Engineering, Indian Institute of Technology Bombay, Mumbai, 400076, India; Department of Architecture, University of Cambridge, Cambridge, CB2 1PX, United Kingdom","Malik, J., Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States, Centre for Urban Science and Engineering, Indian Institute of Technology Bombay, Mumbai, 400076, India; Bardhan, R., Centre for Urban Science and Engineering, Indian Institute of Technology Bombay, Mumbai, 400076, India, Department of Architecture, University of Cambridge, Cambridge, CB2 1PX, United Kingdom; Hong, T., Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States; Piette, M.A., Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA  94720, United States","Malik, J.; Lawrence Berkeley National Laboratory, 1 Cyclotron Road, United States; email: jmalik@lbl.gov",,"Tsinghua University",19963599,,,,"English","Build. Simul.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85124937316
"Taib N.S.M., Ahmad Zaki S., Rijal H.B., Razak A.A., Hagishima A., Khalid W., Ali M.S.M.","57221229846;57216792424;16230947700;57210387130;6505814162;55851457800;57693614200;","Associating thermal comfort and preference in Malaysian universities’ air-conditioned office rooms under various set-point temperatures",2022,"Journal of Building Engineering","54",,"104575","","",,,"10.1016/j.jobe.2022.104575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130871449&doi=10.1016%2fj.jobe.2022.104575&partnerID=40&md5=1856f26445504e0b9c64faf9cbd6a6bf","Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia; Faculty of Environmental Studies, Tokyo City University, Yokohama, 224-8551, Japan; Faculty of Mechanical Engineering, Universtiti Teknologi MARA, Selangor, Shah Alam, 40450, Malaysia; Interdisciplinary Graduate School of Engineering Sciences, Kyushu University, Fukuoka, 816-8580, Japan; School of Mechanical & Manufacturing Engineering (SMME), National University of Sciences & Technology (NUST), Islamabad, Pakistan","Taib, N.S.M., Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia; Ahmad Zaki, S., Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia; Rijal, H.B., Faculty of Environmental Studies, Tokyo City University, Yokohama, 224-8551, Japan; Razak, A.A., Faculty of Mechanical Engineering, Universtiti Teknologi MARA, Selangor, Shah Alam, 40450, Malaysia; Hagishima, A., Interdisciplinary Graduate School of Engineering Sciences, Kyushu University, Fukuoka, 816-8580, Japan; Khalid, W., School of Mechanical & Manufacturing Engineering (SMME), National University of Sciences & Technology (NUST), Islamabad, Pakistan; Ali, M.S.M., Malaysia-Japan International Institute of Technology, Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia","Ahmad Zaki, S.; Malaysia-Japan International Institute of Technology, Kuala Lumpur, Malaysia; email: sheikh.kl@utm.my",,"Elsevier Ltd",23527102,,,,"English","J. Build. Eng.",Article,"Final","",Scopus,2-s2.0-85130871449
"Yan H., Sun Z., Shi F., Yuan G., Dong M., Wang M.","42862850200;57336938300;57336381400;57337357300;57215899096;57765479200;","Thermal response and thermal comfort evaluation of the split air conditioned residential buildings",2022,"Building and Environment","221",,"109326","","",,,"10.1016/j.buildenv.2022.109326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132936046&doi=10.1016%2fj.buildenv.2022.109326&partnerID=40&md5=c269936c1902ee9c40028acf99c2b5ef","School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China; State Key Laboratory of Green Building in Western China, Xi'an University of Architecture & Technology, Shaanxi, Xi'an, 710055, China; Puyang Medical College, Henan, Puyang, 457000, China","Yan, H., School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China, State Key Laboratory of Green Building in Western China, Xi'an University of Architecture & Technology, Shaanxi, Xi'an, 710055, China; Sun, Z., School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China; Shi, F., School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China; Yuan, G., School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China; Dong, M., Puyang Medical College, Henan, Puyang, 457000, China; Wang, M., School of Architectural and Artistic Design, Henan Polytechnic University, Henan, Jiaozuo, 454000, China","Yan, H.; School of Architectural and Artistic Design, Henan, China; email: yhy@hpu.edu.cn",,"Elsevier Ltd",03601323,,BUEND,,"English","Build. Environ.",Article,"Final","",Scopus,2-s2.0-85132936046
"Lourenço Niza I., Broday E.E.","57763434300;55634070700;","Thermal comfort conditions in Brazil: A discriminant analysis through the ASHRAE Global Thermal Comfort Database II",2022,"Building and Environment","221",,"109310","","",,,"10.1016/j.buildenv.2022.109310","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132736811&doi=10.1016%2fj.buildenv.2022.109310&partnerID=40&md5=3bb099c64d6efe2cbdcc9fb9f73d30af","IEQ Lab – Federal University of Technology - Paraná (UTFPR), Rua Doutor Washington Subtil Chueire, 330 - Jardim Carvalho, PR, Ponta Grossa, 84017-220, Brazil","Lourenço Niza, I., IEQ Lab – Federal University of Technology - Paraná (UTFPR), Rua Doutor Washington Subtil Chueire, 330 - Jardim Carvalho, PR, Ponta Grossa, 84017-220, Brazil; Broday, E.E., IEQ Lab – Federal University of Technology - Paraná (UTFPR), Rua Doutor Washington Subtil Chueire, 330 - Jardim Carvalho, PR, Ponta Grossa, 84017-220, Brazil","Broday, E.E.; IEQ Lab – Federal University of Technology - Paraná (UTFPR), 330 - Jardim Carvalho, PR, Brazil; email: broday@utfpr.edu.br",,"Elsevier Ltd",03601323,,BUEND,,"English","Build. Environ.",Article,"Final","",Scopus,2-s2.0-85132736811
"Cao W., Xuan X., Wu W., Chen L., Zhang Q.","57218321284;57189519780;57207082415;57223966285;57218321254;","A new method for determining the optimal adaptive thermal comfort model with grey relational analysis",2022,"Building and Environment","221",,"109277","","",,,"10.1016/j.buildenv.2022.109277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132710915&doi=10.1016%2fj.buildenv.2022.109277&partnerID=40&md5=49eae83a098fa16869f64532db2f1837","College of Architecture, Anhui Science and Technology University, Bengbu, 233100, China; College of Architecture and Art, Hefei University of Technology, Hefei, 230009, China; College of Management, Anhui Science and Technology University, Bengbu, 233100, China","Cao, W., College of Architecture, Anhui Science and Technology University, Bengbu, 233100, China; Xuan, X., College of Architecture and Art, Hefei University of Technology, Hefei, 230009, China; Wu, W., College of Architecture, Anhui Science and Technology University, Bengbu, 233100, China; Chen, L., College of Architecture and Art, Hefei University of Technology, Hefei, 230009, China; Zhang, Q., College of Management, Anhui Science and Technology University, Bengbu, 233100, China","Xuan, X.; College of Architecture and Art, China; email: xxuan@hfut.edu.cn",,"Elsevier Ltd",03601323,,BUEND,,"English","Build. Environ.",Article,"Final","",Scopus,2-s2.0-85132710915
"Shi Y., Lian Z., Hu S., Hu Y.","57753461000;7102947074;57753461100;57753461200;","Effects of multiple indoor environmental factors on anaerobic exercise performance",2022,"Journal of Thermal Biology","108",,"103280","","",,,"10.1016/j.jtherbio.2022.103280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132341731&doi=10.1016%2fj.jtherbio.2022.103280&partnerID=40&md5=de55cfaea59cb561806e52d8977c2433","School of Design, Shanghai Jiao Tong University, Shanghai, 200240, China; Marine Design & Research Institute of China, Shanghai, 200011, China","Shi, Y., School of Design, Shanghai Jiao Tong University, Shanghai, 200240, China; Lian, Z., School of Design, Shanghai Jiao Tong University, Shanghai, 200240, China; Hu, S., Marine Design & Research Institute of China, Shanghai, 200011, China; Hu, Y., Marine Design & Research Institute of China, Shanghai, 200011, China","Lian, Z.; School of Design, China; email: zwlian@sjtu.edu.cn",,"Elsevier Ltd",03064565,,JTBID,,"English","J. Therm. Biol.",Article,"Final","",Scopus,2-s2.0-85132341731
"Bavaresco M., Kousis I., Pigliautile I., Laura Pisello A., Piselli C., Ghisi E.","57201007845;57211821338;57194409282;57730017500;56532466200;8859872400;","Are years-long field studies about window operation efficient? a data-driven approach based on information theory and deep learning",2022,"Energy and Buildings","268",,"112197","","",,,"10.1016/j.enbuild.2022.112197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131414269&doi=10.1016%2fj.enbuild.2022.112197&partnerID=40&md5=30f8584e211b62d65e8be35a0d7ad849","Laboratory of Energy Efficiency in Buildings, Department of Civil Engineering, Federal University of Santa Catarina, Florianópolis, Brazil; CIRIAF - Interuniversity Research Centre on Pollution and Environment “Mauro Felli”, University of Perugia, Perugia, Italy; Department of Engineering, University of Perugia, Perugia, Italy; Department of Architecture (DIDA), University of Florence, Florence, Italy","Bavaresco, M., Laboratory of Energy Efficiency in Buildings, Department of Civil Engineering, Federal University of Santa Catarina, Florianópolis, Brazil; Kousis, I., CIRIAF - Interuniversity Research Centre on Pollution and Environment “Mauro Felli”, University of Perugia, Perugia, Italy; Pigliautile, I., CIRIAF - Interuniversity Research Centre on Pollution and Environment “Mauro Felli”, University of Perugia, Perugia, Italy, Department of Engineering, University of Perugia, Perugia, Italy; Laura Pisello, A., CIRIAF - Interuniversity Research Centre on Pollution and Environment “Mauro Felli”, University of Perugia, Perugia, Italy, Department of Engineering, University of Perugia, Perugia, Italy; Piselli, C., Department of Engineering, University of Perugia, Perugia, Italy, Department of Architecture (DIDA), University of Florence, Florence, Italy; Ghisi, E., Laboratory of Energy Efficiency in Buildings, Department of Civil Engineering, Federal University of Santa Catarina, Florianópolis, Brazil","Bavaresco, M.; Laboratory of Energy Efficiency in Buildings, Brazil; email: bavarescomateus@gmail.com",,"Elsevier Ltd",03787788,,ENEBD,,"English","Energy Build.",Article,"Final","",Scopus,2-s2.0-85131414269
