," Author:Parkinson, Thomas",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"h-index = 15 (Of the 31 documents considered for the h-index, 15 have been cited at least 15 times.)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,<2012,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,subtotal,>2022,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,1,5,24,25,53,143,231,274,200,956,0,956
2022,"Study on adaptive comfort behaviours in mixed-mode residential buildings in Tianjin, China","Hou J., Sun Y., Song Y., Kim J., Parkinson T., de Dear R.",1420326X,"Indoor and Built Environment",31, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,"The impact of occupant's thermal sensitivity on adaptive thermal comfort model","Rupp R.F., Parkinson T., Kim J., Toftum J., de Dear R.",03601323,"Building and Environment",207, ,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2021,"Overcooling of offices reveals gender inequity in thermal comfort","Parkinson T., Schiavon S., de Dear R., Brager G.",20452322,"Scientific Reports",11, 1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2021,"A data-driven analysis of occupant workspace dissatisfaction","Kent M., Parkinson T., Kim J., Schiavon S.",03601323,"Building and Environment",205, ,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4
2021,"Predicting thermal pleasure experienced in dynamic environments from simulated cutaneous thermoreceptor activity","Parkinson T., Zhang H., Arens E., He Y., de Dear R., Elson J., Parkinson A., Maranville C., Wang A.",09056947,"Indoor Air",31, 6,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2021,"Detailed measured air speed distribution in four commercial buildings with ceiling fans","Luo M., Zhang H., Raftery P., Zhou L., Parkinson T., Arens E., He Y., Present E.",03601323,"Building and Environment",200, ,0,0,0,0,0,0,0,0,0,0,3,2,5,0,5
2020,"Targeted occupant surveys: A novel method to effectively relate occupant feedback with environmental conditions","Duarte Roa C., Schiavon S., Parkinson T.",03601323,"Building and Environment",184, ,0,0,0,0,0,0,0,0,0,1,2,1,4,0,4
2020,"Improved long-term thermal comfort indices for continuous monitoring","Li P., Parkinson T., Schiavon S., Froese T.M., de Dear R., Rysanek A., Staub-French S.",03787788,"Energy and Buildings",224, ,0,0,0,0,0,0,0,0,0,1,6,5,12,0,12
2020,"Spatial uniformity of thermal comfort from ceiling fans blowing upwards","Parkinson T., Raftery P., Present E.",00012505,"ASHRAE Transactions",126, ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
2020,"Nudging the adaptive thermal comfort model","Parkinson T., de Dear R., Brager G.",03787788,"Energy and Buildings",206, ,0,0,0,0,0,0,0,0,1,11,26,26,64,0,64
2019,"Thermal comfort in a mixed-mode building: Are occupants more adaptive?","Kim J., Tartarini F., Parkinson T., Cooper P., de Dear R.",03787788,"Energy and Buildings",203, ,0,0,0,0,0,0,0,0,0,8,11,8,27,0,27
2019,"Ventilation mode effect on thermal comfort in a mixed mode building","Kim J., De Dear R., Tartarini F., Parkinson T., Cooper P.",17578981,"IOP Conference Series: Materials Science and Engineering",609, 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,"A data-driven approach to defining acceptable temperature ranges in buildings","Li P., Parkinson T., Brager G., Schiavon S., Cheung T.C.T., Froese T.",03601323,"Building and Environment",153, ,0,0,0,0,0,0,0,0,2,10,7,4,23,0,23
2019,"Analysis of the accuracy on PMV – PPD model using the ASHRAE Global Thermal Comfort Database II","Cheung T., Schiavon S., Parkinson T., Li P., Brager G.",03601323,"Building and Environment",153, ,0,0,0,0,0,0,0,0,10,36,52,32,130,0,130
2019,"The Squeaky wheel: Machine learning for anomaly detection in subjective thermal comfort votes","Wang Z., Parkinson T., Li P., Lin B., Hong T.",03601323,"Building and Environment",151, ,0,0,0,0,0,0,0,0,1,5,4,4,14,0,14
2019,"Continuous IEQ monitoring system: Performance specifications and thermal comfort classification","Parkinson T., Parkinson A., de Dear R.",03601323,"Building and Environment",149, ,0,0,0,0,0,0,0,0,7,8,11,6,32,0,32
2019,"Continuous IEQ monitoring system: Context and development","Parkinson T., Parkinson A., de Dear R.",03601323,"Building and Environment",149, ,0,0,0,0,0,0,0,0,7,13,14,19,53,0,53
2018,"Development of the ASHRAE Global Thermal Comfort Database II","Foldvary Licina V., Cheung T., Zhang H., de Dear R., Parkinson T., Arens E., Chun C., Schiavon S., Luo M., Brager G., Li P., Kaam S., Adebamowo M.A., Andamon M.M., Babich F., Bouden C., Bukovianska H., Candido C., Cao B., Carlucci S., Cheong D.K.W., Choi J.-H., Cook M., Cropper P., Deuble M., Heidari S., Indraganti M., Jin Q., Kim H., Kim J., Konis K., Singh M.K., Kwok A., Lamberts R., Loveday D., Langevin J., Manu S., Moosmann C., Nicol F., Ooka R., Oseland N.A., Pagliano L., Petras D., Rawal R., Romero R., Rijal H.B., Sekhar C., Schweiker M., Tartarini F., Tanabe S.-I., Tham K.W., Teli D., Toftum J., Toledo L., Tsuzuki K., De Vecchi R., Wagner A., Wang Z., Wallbaum H., Webb L., Yang L., Zhu Y., Zhai Y., Zhang Y., Zhou X.",03601323,"Building and Environment",142, ,0,0,0,0,0,0,0,2,28,44,49,38,161,0,161
2018,"Residential adaptive comfort in a humid continental climate – Tianjin China","Song Y., Sun Y., Luo S., Tian Z., Hou J., Kim J., Parkinson T., de Dear R.",03787788,"Energy and Buildings",170, ,0,0,0,0,0,0,0,0,8,11,8,3,30,0,30
2018,"Residential adaptive comfort in a humid subtropical climate—Sydney Australia","de Dear R., Kim J., Parkinson T.",03787788,"Energy and Buildings",158, ,0,0,0,0,0,0,0,4,18,18,11,13,64,0,64
2017,"Understanding patterns of adaptive comfort behaviour in the Sydney mixed-mode residential context","Kim J., de Dear R., Parkinson T., Candido C.",03787788,"Energy and Buildings",141, ,0,0,0,0,0,0,3,10,15,14,14,12,68,0,68
2017,"Thermal pleasure in built environments: spatial alliesthesia from air movement","Parkinson T., de Dear R.",09613218,"Building Research and Information",45, 3,0,0,0,0,0,0,0,5,7,9,9,2,32,0,32
2017,"Air conditioning usage and environmental control behaviour in residential contexts","Kim J., de Dear R., Parkinson T., Candido C.",25222708,"Building Simulation Conference Proceedings",4, ,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2
2017,"Indoor environment and adaptive thermal comfort models in residential buildings in Tianjin, China","Song Y., Sun Y., Luo S., Hou J., Kim J., Parkinson T., De Dear R.",18777058,"Procedia Engineering",205, ,0,0,0,0,0,0,0,1,4,3,1,1,10,0,10
2016,"Thermal pleasure in built environments: Spatial alliesthesia from contact heating","Parkinson T., De Dear R.",09613218,"Building Research and Information",44, 3,0,0,0,0,0,2,3,4,3,6,5,2,25,0,25
2016,"Thermal pleasure and alliesthesia in the built environment","Parkinson T., De Dear R.",,"Proceedings - 9th International Windsor Conference 2016: Making Comfort Relevant",, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Pervasive and real-time Indoor Environmental Quality (IEQ) monitors","De Dear R., Parkinson T., Parkinson A.",,"Proceedings - 9th International Windsor Conference 2016: Making Comfort Relevant",, ,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2
2016,"Thermal pleasure in built environments: Alliesthesia in different thermoregulatory zones","Parkinson T., De Dear R., Candido C.",09613218,"Building Research and Information",44, 1,0,0,0,0,0,3,3,7,9,10,11,2,45,0,45
2015,"Thermal pleasure in built environments: Physiology of alliesthesia","Parkinson T., De Dear R.",09613218,"Building Research and Information",43, 3,0,0,0,0,3,15,12,15,15,20,24,10,114,0,114
2014,"Quantifying useful thermal mass: How much thermal mass do you need?","Slee B., Parkinson T., Hyde R.",00038628,"Architectural Science Review",57, 4,0,0,0,0,0,1,2,2,1,1,2,0,9,0,9
2012,"Perception of transient thermal environments: Pleasure and alliesthesia","Parkinson T., De Dear R., Candido C.",,"Proceedings of 7th Windsor Conference: The Changing Context of Comfort in an Unpredictable World",, ,0,0,0,1,2,3,2,2,7,2,1,0,20,0,20
